Model Part,,SortOrder,TmenuOrder,Part SizeX,Part SizeY,Part PosX,Part PosY,Scale Adjust,X Adjust,y Adjust,,#ofTabs ,Tab1 Image,Tab2 Image,Tab3 Image,Tab4 Image,Tab5 Image,Tab6 Image,Tab7 Image,Tab8 Image,Tab9 Image,Tab10 Image,Tab11 Image,Tab12 Image,Tab13 Image,Tab14 Image,Tab15 Image,Tab16 Image,Tab17 Image,Tab18 Image,Tab19 Image,Tab20 Image,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha
16Socks,,16,16,194.0,180.0,300.0,396.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,16Socks_Clay1.,16Socks_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,16Socks_Clay1.,16Socks_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17Gloves,,17,17,433.0,147.0,313.5,672.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,17Gloves_Clay1.,17Gloves_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,17Gloves_Clay1.,17Gloves_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18Hat,,18,18,251.0,101.0,300.0,729.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,18Hat_Clay1.,18Hat_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,18Hat_Clay1.,18Hat_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19HatUnder1,,19,19,246.0,68.0,298.5,706.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,19HatUnder1_Clay1.,19HatUnder1_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,19HatUnder1_Clay1.,19HatUnder1_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HatUnder2,,20,20,251.0,67.0,300.0,707.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,20HatUnder2_Clay1.,20HatUnder2_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,20HatUnder2_Clay1.,20HatUnder2_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21HatBow,,21,21,206.0,62.0,307.5,717.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,21HatBow_Clay1.,21HatBow_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,21HatBow_Clay1.,21HatBow_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22Bow,,22,22,71.0,16.0,308.5,643.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,22Bow_Clay1.,22Bow_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,22Bow_Clay1.,22Bow_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23Boots,,23,23,206.0,226.0,308.0,331.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,23Boots_Clay1.,23Boots_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,23Boots_Clay1.,23Boots_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24BootsDetails,,24,24,117.0,158.0,303.0,359.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,24BootsDetails_Clay1.,24BootsDetails_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,24BootsDetails_Clay1.,24BootsDetails_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25BroomTie,,25,25,125.0,80.0,299.5,315.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,25BroomTie_Clay1.,25BroomTie_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,25BroomTie_Clay1.,25BroomTie_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26BroomStick,,26,26,480.0,432.0,321.0,559.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,26BroomStick_Clay1.,26BroomStick_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,26BroomStick_Clay1.,26BroomStick_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27BroomHairs,,27,27,301.0,169.0,295.0,277.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,27BroomHairs_Clay1.,27BroomHairs_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,27BroomHairs_Clay1.,27BroomHairs_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28Base,,28,28,198.0,64.0,299.5,218.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,28Base_Clay1.,28Base_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,28Base_Clay1.,28Base_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
